timestamp,segment_id,segment_name,latitude,longitude,current_speed_kmh,free_flow_speed_kmh,current_travel_time_sec,free_flow_travel_time_sec,confidence
2026-02-19 18:34:09.981157,Segment 1,World Trade Centre,25.2262,55.287,27,53,79,40,1.0
2026-02-19 18:34:11.101200,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-19 18:34:12.216919,Segment 3,Business Bay,25.1872,55.2644,15,24,226,141,0.99
2026-02-19 18:34:13.331122,Segment 4,MOE,25.1182,55.2006,28,36,639,497,1.0
2026-02-19 19:28:39.311896,Segment 1,World Trade Centre,25.2262,55.287,53,53,40,40,1.0
2026-02-19 19:28:40.366917,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-19 19:28:41.424864,Segment 3,Business Bay,25.1872,55.2644,13,23,260,147,0.97
2026-02-19 19:28:42.479056,Segment 4,MOE,25.1182,55.2006,29,36,617,497,1.0
2026-02-19 20:01:29.324009,Segment 1,World Trade Centre,25.2262,55.287,26,52,82,41,1.0
2026-02-19 20:01:30.401304,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-19 20:01:31.508077,Segment 3,Business Bay,25.1872,55.2644,13,24,260,141,0.97
2026-02-19 20:01:32.585292,Segment 4,MOE,25.1182,55.2006,29,36,617,497,1.0
2026-02-19 20:49:20.411963,Segment 1,World Trade Centre,25.2262,55.287,35,52,61,41,1
2026-02-19 20:49:21.536104,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-19 20:49:22.655718,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-19 20:49:23.779253,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-19 21:24:55.204829,Segment 1,World Trade Centre,25.2262,55.287,20,53,107,40,1.0
2026-02-19 21:24:56.334512,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-19 21:24:57.464033,Segment 3,Business Bay,25.1872,55.2644,17,23,199,147,0.95
2026-02-19 21:24:58.573366,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-19 21:58:52.643839,Segment 1,World Trade Centre,25.2262,55.287,24,53,89,40,1
2026-02-19 21:58:53.776264,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-19 21:58:54.897257,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-19 21:58:56.017438,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-19 22:46:48.762370,Segment 1,World Trade Centre,25.2262,55.287,35,52,61,41,1
2026-02-19 22:46:49.873034,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-19 22:46:50.990846,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-19 22:46:52.133774,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-19 23:17:45.930271,Segment 1,World Trade Centre,25.2262,55.287,38,52,56,41,1
2026-02-19 23:17:47.104098,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-19 23:17:48.284530,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-19 23:17:49.447876,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-19 23:50:22.127067,Segment 1,World Trade Centre,25.2262,55.287,28,53,76,40,1
2026-02-19 23:50:23.251838,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-19 23:50:24.384182,Segment 3,Business Bay,25.1872,55.2644,24,24,141,141,1
2026-02-19 23:50:25.494331,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-20 02:46:48.120715,Segment 1,World Trade Centre,25.2262,55.287,43,52,50,41,0.985705
2026-02-20 02:46:49.286796,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 02:46:50.449772,Segment 3,Business Bay,25.1872,55.2644,16,23,211,147,0.95
2026-02-20 02:46:51.614296,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 04:29:11.695276,Segment 1,World Trade Centre,25.2262,55.287,41,53,52,40,1
2026-02-20 04:29:12.763644,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 04:29:13.852621,Segment 3,Business Bay,25.1872,55.2644,13,24,260,141,1
2026-02-20 04:29:14.932811,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1
2026-02-20 05:40:22.710684,Segment 1,World Trade Centre,25.2262,55.287,37,52,58,41,1.0
2026-02-20 05:40:23.766546,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 05:40:24.820913,Segment 3,Business Bay,25.1872,55.2644,16,28,211,121,0.985658
2026-02-20 05:40:25.872587,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 06:37:35.712665,Segment 1,World Trade Centre,25.2262,55.287,20,52,107,41,1
2026-02-20 06:37:36.817863,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 06:37:37.933233,Segment 3,Business Bay,25.1872,55.2644,12,24,282,141,1
2026-02-20 06:37:39.034353,Segment 4,MOE,25.1182,55.2006,26,36,688,497,1
2026-02-20 07:37:22.832674,Segment 1,World Trade Centre,25.2262,55.287,27,52,79,41,1
2026-02-20 07:37:23.908555,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1
2026-02-20 07:37:24.979502,Segment 3,Business Bay,25.1872,55.2644,15,23,226,147,1
2026-02-20 07:37:26.051505,Segment 4,MOE,25.1182,55.2006,29,36,617,497,1
2026-02-20 08:24:43.689000,Segment 1,World Trade Centre,25.2262,55.287,22,45,97,47,1.0
2026-02-20 08:24:44.797538,Segment 2,DIFC,25.2136,55.2796,73,104,580,407,1.0
2026-02-20 08:24:45.912347,Segment 3,Business Bay,25.1872,55.2644,11,24,308,141,1.0
2026-02-20 08:24:47.010730,Segment 4,MOE,25.1182,55.2006,29,37,617,484,0.999529
2026-02-20 09:09:09.637135,Segment 1,World Trade Centre,25.2262,55.287,42,52,51,41,1.0
2026-02-20 09:09:10.758740,Segment 2,DIFC,25.2136,55.2796,105,105,403,403,1.0
2026-02-20 09:09:11.875013,Segment 3,Business Bay,25.1872,55.2644,16,24,211,141,0.99
2026-02-20 09:09:12.991167,Segment 4,MOE,25.1182,55.2006,36,36,497,497,1.0
2026-02-20 09:58:54.848771,Segment 1,World Trade Centre,25.2262,55.287,17,53,126,40,1
2026-02-20 09:58:55.958193,Segment 2,DIFC,25.2136,55.2796,62,104,683,407,1
2026-02-20 09:58:57.058016,Segment 3,Business Bay,25.1872,55.2644,18,24,188,141,1
2026-02-20 09:58:58.180442,Segment 4,MOE,25.1182,55.2006,27,37,663,484,1
2026-02-20 10:53:06.047517,Segment 1,World Trade Centre,25.2262,55.287,9,52,239,41,1.0
2026-02-20 10:53:07.168956,Segment 2,DIFC,25.2136,55.2796,64,103,661,411,1.0
2026-02-20 10:53:08.287715,Segment 3,Business Bay,25.1872,55.2644,12,24,282,141,0.99
2026-02-20 10:53:09.410058,Segment 4,MOE,25.1182,55.2006,27,35,663,511,1.0
2026-02-20 11:39:15.205617,Segment 1,World Trade Centre,25.2262,55.287,8,41,268,52,1
2026-02-20 11:39:16.274647,Segment 2,DIFC,25.2136,55.2796,69,104,613,407,1
2026-02-20 11:39:17.345180,Segment 3,Business Bay,25.1872,55.2644,12,23,282,147,1
